City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Time
0,Adamstown,-25.066,-130.1015,23.99,82,89,3.44,PN,2024-01-03,09:04:25
1,Bayanhongor,46.7167,100.1167,-20.34,82,2,1.32,MN,2024-01-03,09:04:25
2,Byron Bay,-28.65,153.6167,24.28,89,6,4.06,AU,2024-01-03,09:04:25
3,Constantia,44.1833,28.65,6.5,78,100,4.65,RO,2024-01-03,09:02:24
4,Vavoua,7.3819,-6.4778,27.12,53,5,1.07,CI,2024-01-03,09:04:26
5,Ouesso,1.6136,16.0517,30.92,49,100,1.06,CG,2024-01-03,09:04:26
6,Bredasdorp,-34.5322,20.0403,21.84,74,100,6.8,ZA,2024-01-03,09:04:27
7,Hermanus,-34.4187,19.2345,24.89,69,78,6.43,ZA,2024-01-03,09:04:27
8,Marsh Harbour,26.5412,-77.0636,19.19,61,100,4.93,BS,2024-01-03,09:04:27
9,Stanley,54.868,-1.6985,5.01,95,75,0.0,GB,2024-01-03,09:04:27
10,Edinburgh Of The Seven Seas,-37.0676,-12.3116,17.54,98,100,5.2,SH,2024-01-03,09:04:28
11,Bethel,41.3712,-73.414,0.27,85,0,0.45,US,2024-01-03,09:04:28
12,Longyearbyen,78.2186,15.6401,-11.09,62,75,3.09,SJ,2024-01-03,09:04:28
13,Petropavlovsk-Kamchatsky,53.0452,158.6483,-14.75,80,74,1.79,RU,2024-01-03,09:04:29
14,Huangnihe,43.5583,128.0239,-12.86,95,29,2.17,CN,2024-01-03,09:04:29
15,Iqaluit,63.7506,-68.5145,-23.15,70,40,12.86,CA,2024-01-03,09:04:30
16,Touros,-5.1989,-35.4608,26.44,81,29,3.11,BR,2024-01-03,09:04:30
17,Albany,42.6001,-73.9662,2.12,81,100,0.45,US,2024-01-03,09:04:30
18,Aktobe,50.2797,57.2072,0.05,74,0,8.0,KZ,2024-01-03,09:02:14
19,Aracuai,-16.8497,-42.0703,22.37,98,100,0.47,BR,2024-01-03,09:04:31
20,Grytviken,-54.2811,-36.5092,0.46,69,14,4.09,GS,2024-01-03,09:04:31
21,Blackmans Bay,-43.0167,147.3167,15.85,86,100,0.45,AU,2024-01-03,09:04:32
22,Puerto Ayora,-0.7393,-90.3518,24.19,97,47,2.24,EC,2024-01-03,09:04:32
23,Atafu Village,-8.5421,-172.5159,29.43,74,89,4.17,TK,2024-01-03,09:04:32
24,Saint-Joseph,-21.3667,55.6167,30.21,73,100,2.17,RE,2024-01-03,09:04:32
25,Tiksi,71.6872,128.8694,-36.47,100,87,1.43,RU,2024-01-03,09:04:33
26,Minas De Marcona,-15.2119,-75.1103,16.18,87,88,3.86,PE,2024-01-03,09:04:33
27,Puerto Natales,-51.7236,-72.4875,7.15,90,100,1.24,CL,2024-01-03,09:04:34
28,Waitangi,-43.9535,-176.5597,13.23,81,89,2.1,NZ,2024-01-03,09:04:35
29,Odda,60.0691,6.5457,-10.15,82,100,7.41,NO,2024-01-03,09:04:35
30,Alpine,32.835,-116.7664,9.69,92,75,0.45,US,2024-01-03,09:04:35
31,West Island,-12.1568,96.8225,29.99,66,100,6.17,CC,2024-01-03,09:03:35
32,Utrik,11.2278,169.8474,26.99,74,32,9.26,MH,2024-01-03,09:04:37
33,Ottawa,45.4112,-75.6981,1.04,72,100,4.12,CA,2024-01-03,08:56:05
34,Yen Bai,21.7,104.8667,18.14,78,100,0.35,VN,2024-01-03,09:02:45
35,Prado,-17.3411,-39.2208,24.74,90,100,4.0,BR,2024-01-03,09:02:35
36,St. John'S,47.5649,-52.7093,-0.12,84,58,2.24,CA,2024-01-03,09:04:12
37,Nosy Varika,-20.5833,48.5333,30.43,65,89,5.16,MG,2024-01-03,09:04:38
38,Ribeira Brava,32.65,-17.0667,21.11,95,86,1.68,PT,2024-01-03,09:04:38
39,Ilulissat,69.2167,-51.1,-6.99,49,100,6.69,GL,2024-01-03,09:04:38
40,Iskateley,67.6803,53.1512,-13.27,90,100,8.32,RU,2024-01-03,09:04:39
41,Port-Aux-Francais,-49.35,70.2167,4.95,73,88,14.34,TF,2024-01-03,09:02:42
42,Anadyr,64.75,177.4833,-16.72,91,40,4.0,RU,2024-01-03,09:03:48
43,Mount Pearl,47.5166,-52.7813,-0.58,84,61,0.45,CA,2024-01-03,09:04:40
44,Papatowai,-46.5619,169.4708,12.86,76,90,1.99,NZ,2024-01-03,09:04:40
45,Nadi,-17.8,177.4167,27.0,78,40,2.06,FJ,2024-01-03,09:04:40
46,Dudinka,69.4058,86.1778,-39.62,100,97,1.34,RU,2024-01-03,09:04:40
47,Soio,-6.1349,12.3689,28.07,73,84,3.51,AO,2024-01-03,09:04:41
48,Bilibino,68.0546,166.4372,-30.98,100,100,0.05,RU,2024-01-03,08:59:45
49,Lebu,-37.6167,-73.65,13.02,95,19,6.56,CL,2024-01-03,09:02:48
50,Lihue,21.9789,-159.3672,21.31,88,100,3.6,US,2024-01-03,09:04:41
51,Grand Falls-Windsor,48.9332,-55.6649,-5.18,91,36,2.51,CA,2024-01-03,09:04:42
52,Manokwari,-0.8667,134.0833,27.88,76,100,1.06,ID,2024-01-03,09:04:43
53,Hithadhoo,-0.6,73.0833,28.49,73,21,4.42,MV,2024-01-03,09:04:43
54,Arteche,12.2645,125.4048,26.63,77,72,1.64,PH,2024-01-03,09:04:43
55,Olinda,-8.0089,-34.8553,24.85,100,40,2.06,BR,2024-01-03,09:04:36
56,Nova Sintra,14.8667,-24.7167,21.76,65,44,9.18,CV,2024-01-03,09:04:44
57,Ushuaia,-54.8,-68.3,7.81,87,20,1.54,AR,2024-01-03,08:51:30
58,Lorengau,-2.0226,147.2712,27.98,79,98,1.78,PG,2024-01-03,09:04:44
59,Itamaraca,-7.7478,-34.8256,25.03,82,26,2.9,BR,2024-01-03,09:04:44
60,Ciudad Madero,22.2667,-97.8333,21.14,89,100,0.47,MX,2024-01-03,09:00:15
61,Whitehorse,60.7161,-135.0538,-12.72,92,100,2.06,CA,2024-01-03,09:04:45
62,West End,26.6833,-78.9667,19.48,57,100,4.35,BS,2024-01-03,09:04:45
63,Neiafu,-18.65,-173.9833,26.4,83,47,8.35,TO,2024-01-03,09:04:46
64,La Passe,45.5549,-0.8967,11.13,80,51,9.43,FR,2024-01-03,09:04:47
65,Sestri Levante,44.2732,9.3968,15.35,92,100,1.79,IT,2024-01-03,09:04:47
66,Yuzhno-Kurilsk,44.0306,145.8556,-1.46,65,59,4.67,RU,2024-01-03,09:04:47
67,Badger,64.8,-147.5333,-18.69,79,0,3.09,US,2024-01-03,09:03:53
68,Punta Arenas,-53.15,-70.9167,11.06,58,0,2.57,CL,2024-01-03,09:01:54
69,Avarua,-21.2078,-159.775,25.03,83,75,6.69,CK,2024-01-03,09:03:02
70,Woolgoolga,-30.1106,153.2007,23.93,87,6,3.03,AU,2024-01-03,09:04:48
71,Puerto Lempira,15.2667,-83.7667,23.62,88,40,3.37,HN,2024-01-03,09:04:49
72,Gadzhiyevo,69.2551,33.3362,-16.29,75,100,10.69,RU,2024-01-03,09:01:08
73,East London,-33.0153,27.9116,24.84,71,45,5.69,ZA,2024-01-03,09:00:07
74,Vallenar,-28.5708,-70.7581,13.11,80,0,1.53,CL,2024-01-03,09:03:21
75,Orangeville,43.9168,-80.0997,-1.22,92,100,4.49,CA,2024-01-03,09:04:25
76,Kandalaksha,67.162,32.4123,-24.76,96,97,0.81,RU,2024-01-03,09:01:04
77,Xuchang,34.0167,113.8167,9.38,38,0,2.02,CN,2024-01-03,09:00:27
78,Atamanovka,51.93,113.63,-11.76,97,100,1.22,RU,2024-01-03,09:04:52
79,Plastun,44.7561,136.2939,-8.23,70,9,0.98,RU,2024-01-03,09:04:52
80,Crane,31.3974,-102.3501,6.23,74,6,2.4,US,2024-01-03,09:04:52
81,Konarka,19.9,86.1167,26.22,42,0,5.35,IN,2024-01-03,09:04:52
82,Port Saint John'S,-31.6229,29.5448,26.25,66,72,5.2,ZA,2024-01-03,09:04:53
83,Kaiapoi,-43.3783,172.6401,16.72,90,75,6.17,NZ,2024-01-03,09:04:53
84,Talnakh,69.4865,88.3972,-32.15,88,94,3.15,RU,2024-01-03,09:04:39
85,Kaspiyskiy,45.3929,47.3707,7.41,78,100,9.46,RU,2024-01-03,09:04:54
86,Olonkinbyen,70.9221,-8.7187,-0.77,97,100,6.35,SJ,2024-01-03,09:04:54
87,Kapa'A,22.0752,-159.319,21.72,91,100,3.6,US,2024-01-03,09:04:55
88,Aqadyr,48.2553,72.8483,-5.89,81,2,2.25,KZ,2024-01-03,09:04:55
89,Hamilton,39.1834,-84.5333,-0.98,89,95,1.34,US,2024-01-03,08:59:49
90,Kodiak,57.79,-152.4072,2.73,93,100,14.92,US,2024-01-03,09:04:56
91,Uzice,43.8586,19.8488,9.78,70,100,3.42,RS,2024-01-03,09:04:56
92,Bridgetown,13.1,-59.6167,26.61,71,1,6.34,BB,2024-01-03,09:00:20
93,Odesskoye,54.2111,72.9651,-20.3,91,100,2.59,RU,2024-01-03,09:04:57
94,Santa Terezinha,-29.9002,-50.0904,21.48,90,71,5.81,BR,2024-01-03,09:04:57
95,Covington,39.0837,-84.5086,-0.87,85,97,0.45,US,2024-01-03,09:01:00
96,Tsumeb,-19.2333,17.7167,26.41,41,92,2.69,NA,2024-01-03,09:00:18
97,Gusau,12.1628,6.6614,25.51,12,1,6.18,NG,2024-01-03,09:04:58
98,Margaret River,-33.95,115.0667,23.08,53,0,8.2,AU,2024-01-03,09:01:10
99,Kittila,67.6647,24.8936,-26.33,76,0,2.06,FI,2024-01-03,09:02:37
100,Alo,7.4178,6.7371,30.37,53,96,1.77,NG,2024-01-03,09:04:59
101,Nchelenge,-9.3451,28.734,21.91,86,100,2.29,ZM,2024-01-03,09:04:59
102,Usta Muhammad,28.1794,68.0445,24.12,17,0,1.23,PK,2024-01-03,09:04:59
103,Sungailiat,-1.85,106.1333,27.78,82,100,2.1,ID,2024-01-03,09:04:59
104,Pangody,65.85,74.4859,-28.6,98,97,4.41,RU,2024-01-03,09:05:00
105,Qaqortoq,60.7167,-46.0333,-6.79,73,99,3.38,GL,2024-01-03,09:04:50
106,Greenville,35.6127,-77.3663,0.97,93,0,0.0,US,2024-01-03,09:05:00
107,Tura,25.5198,90.2201,23.18,37,0,2.21,IN,2024-01-03,09:05:01
108,Hirara,24.8,125.2833,19.15,72,75,7.72,JP,2024-01-03,09:05:01
109,Georgetown,5.4112,100.3354,30.96,70,20,4.63,MY,2024-01-03,09:02:52
110,Yeniseysk,58.4497,92.1703,-13.17,90,100,3.68,RU,2024-01-03,09:01:16
111,Waynesboro,38.0685,-78.8895,0.71,68,0,3.6,US,2024-01-03,09:05:03
112,Zambezi,-13.5432,23.1047,23.3,78,96,2.49,ZM,2024-01-03,09:05:04
113,Aripuana,-9.1667,-60.6333,22.87,100,100,0.48,BR,2024-01-03,09:05:04
114,Kununurra,-15.7667,128.7333,26.99,78,75,4.12,AU,2024-01-03,09:05:04
115,Mount Gambier,-37.8333,140.7667,17.41,89,95,5.65,AU,2024-01-03,09:05:05
116,Vilyuchinsk,52.9306,158.4028,-13.93,73,43,3.31,RU,2024-01-03,09:03:20
117,Kumeny,58.1089,49.9161,-21.9,94,20,5.13,RU,2024-01-03,09:05:06
118,Guerrero Negro,27.9769,-114.0611,15.65,66,0,4.21,MX,2024-01-03,09:05:06
119,Juticalpa,14.65,-86.2,22.08,97,56,0.69,HN,2024-01-03,09:03:35
120,Richards Bay,-28.783,32.0377,27.59,55,7,3.41,ZA,2024-01-03,09:05:07
121,Semera,11.501,41.201,27.88,26,11,3.91,ET,2024-01-03,09:05:07
122,Ufa,54.775,56.0375,-8.35,96,100,4.02,RU,2024-01-03,09:00:19
123,Morondava,-20.2833,44.2833,29.0,76,95,7.55,MG,2024-01-03,09:05:08
124,Klaksvik,62.2266,-6.589,4.51,91,100,12.67,FO,2024-01-03,09:05:08
125,Kruisfontein,-34.0033,24.7314,21.05,78,85,5.29,ZA,2024-01-03,09:00:46
126,Lubao,14.9167,120.55,31.84,72,68,1.03,PH,2024-01-03,09:05:08
127,Hobyo,5.3505,48.5268,27.63,59,43,9.19,SO,2024-01-03,09:05:09
128,Rzepin,52.3464,14.8323,9.54,74,84,7.85,PL,2024-01-03,09:05:09
129,Kingston,17.997,-76.7936,22.91,97,15,1.35,JM,2024-01-03,09:03:13
130,Sonseca,39.6775,-3.9745,9.67,87,100,4.69,ES,2024-01-03,09:05:10
131,Mukalla,14.5425,49.1242,26.73,54,15,3.54,YE,2024-01-03,09:05:10
132,Puerto Armuelles,8.2833,-82.8667,23.57,81,8,2.01,PA,2024-01-03,09:05:10
133,Barrancas,10.9576,-72.7877,22.74,91,57,0.43,CO,2024-01-03,09:05:11
134,Lagos,6.5833,3.75,32.1,55,76,1.32,NG,2024-01-03,09:00:27
135,Zaragoza,41.6561,-0.8773,16.93,72,40,5.14,ES,2024-01-03,09:05:12
136,Igarka,67.4667,86.5833,-37.63,99,19,1.69,RU,2024-01-03,09:05:12
137,Kerikeri,-35.2268,173.9474,18.28,81,100,0.38,NZ,2024-01-03,09:05:13
138,College,64.8569,-147.8028,-18.64,82,5,2.29,US,2024-01-03,09:02:25
139,Wailua Homesteads,22.0669,-159.378,20.97,91,100,3.6,US,2024-01-03,09:05:13
140,Fort Bragg,35.139,-79.006,0.11,86,0,0.0,US,2024-01-03,09:05:14
141,Kish,26.5578,54.0194,23.17,55,11,6.85,IR,2024-01-03,09:05:14
142,Aleksandrov Gay,50.147,48.5704,5.17,93,100,7.89,RU,2024-01-03,09:05:14
143,Tsetserleg,47.475,101.4542,-9.85,58,0,9.58,MN,2024-01-03,09:00:08
144,Belmonte,-15.8631,-38.8828,25.32,87,53,3.06,BR,2024-01-03,09:05:15
145,Tyukalinsk,55.8732,72.1967,-26.23,94,30,2.26,RU,2024-01-03,09:05:15
146,Upington,-28.4478,21.2561,34.54,19,25,2.62,ZA,2024-01-03,09:05:15
147,Youngsville,30.0996,-91.9901,8.02,83,100,5.14,US,2024-01-03,09:05:16
148,Isafjordur,66.0755,-23.124,3.02,81,75,1.54,IS,2024-01-03,09:00:59
149,Khvansar,33.2205,50.315,6.35,31,0,1.72,IR,2024-01-03,09:05:17
150,Tukrah,32.5341,20.5791,17.94,51,97,4.95,LY,2024-01-03,09:05:17
151,Xining,36.6167,101.7667,1.15,25,0,0.91,CN,2024-01-03,09:05:18
152,Bani Walid,31.7566,13.9942,14.59,68,0,4.12,LY,2024-01-03,09:05:18
153,Piotrkow Kujawski,52.5511,18.4991,9.39,83,100,7.57,PL,2024-01-03,09:05:19
154,Sitka,57.0531,-135.33,3.94,93,100,0.0,US,2024-01-03,09:05:19
155,Jamestown,42.097,-79.2353,-0.8,97,100,4.63,US,2024-01-03,09:03:33
156,Chonchi,-42.6128,-73.8092,12.56,99,96,1.14,CL,2024-01-03,09:04:06
157,Kasulu,-4.5767,30.1025,19.91,89,100,1.76,TZ,2024-01-03,09:05:20
158,Acapulco De Juarez,16.8634,-99.8901,23.1,60,67,1.98,MX,2024-01-03,09:00:23
159,Azadshahr,34.7909,48.5707,6.58,50,14,3.84,IR,2024-01-03,09:05:21
160,Tobelo,1.7284,128.0095,28.29,80,37,3.39,ID,2024-01-03,09:05:21
161,Bonthe,7.5264,-12.505,27.57,79,49,0.73,SL,2024-01-03,09:05:21
162,Ancud,-41.8697,-73.8203,11.87,95,100,1.68,CL,2024-01-03,09:05:22
163,Brisas De Zicatela,15.8369,-97.0419,23.68,66,1,1.83,MX,2024-01-03,09:05:22
164,Hammerfest,70.6634,23.6821,-1.75,80,75,6.17,NO,2024-01-03,09:05:23
165,Bereznik,62.8551,42.7072,-31.01,99,47,0.3,RU,2024-01-03,09:05:24
166,At Taj,24.2049,23.2857,18.33,30,0,3.45,LY,2024-01-03,09:05:24
167,Hun,29.1268,15.9477,15.77,45,10,2.19,LY,2024-01-03,09:03:27
168,Clinton,42.587,-82.9199,1.08,88,75,3.6,US,2024-01-03,09:04:47
169,Ankazobe,-18.3167,47.1167,25.45,60,100,4.72,MG,2024-01-03,09:05:25
170,Przemysl,49.785,22.7673,6.91,84,100,7.3,PL,2024-01-03,09:05:25
171,Chulym,55.0997,80.9572,-19.54,94,100,5.94,RU,2024-01-03,09:05:26
172,Cabo San Lucas,22.8909,-109.9124,19.31,77,5,1.67,MX,2024-01-03,09:05:27
173,Kuybyshevo,47.8123,38.9073,0.79,60,36,6.5,RU,2024-01-03,09:05:28
174,Sault Ste. Marie,46.5168,-84.3333,0.16,90,100,5.66,CA,2024-01-03,09:05:28
175,Susuman,62.7833,148.1667,-33.9,100,99,0.45,RU,2024-01-03,09:05:28
176,Tateyama,34.9833,139.8667,10.05,69,100,1.72,JP,2024-01-03,09:02:20
177,Camayenne,9.535,-13.6878,25.88,74,4,1.51,GN,2024-01-03,09:05:29
178,Shihezi,44.3,86.0333,-0.72,80,22,1.1,CN,2024-01-03,09:03:11
179,Nizhniy Odes,63.6445,54.856,-31.83,100,99,1.76,RU,2024-01-03,09:05:29
180,Tucuma,-0.1833,-50.05,24.39,93,100,2.71,BR,2024-01-03,09:04:59
181,Karratha,-20.7377,116.8463,31.43,45,0,9.11,AU,2024-01-03,09:05:30
182,Muisne,0.6,-80.0333,24.52,93,99,2.84,EC,2024-01-03,09:05:30
183,Surabaya,-7.2492,112.7508,28.34,60,40,1.54,ID,2024-01-03,09:01:58
184,Tazovsky,67.4667,78.7,-31.95,98,100,2.82,RU,2024-01-03,09:05:31
185,Bandarbeyla,9.4942,50.8122,26.65,56,97,8.78,SO,2024-01-03,09:05:32
186,Esfarayen,37.0765,57.5101,8.73,40,96,2.86,IR,2024-01-03,09:05:32
187,Villanueva Del Pardillo,40.4833,-3.9667,11.01,98,100,2.04,ES,2024-01-03,08:59:46
188,Invercargill,-46.4,168.35,14.45,81,81,4.02,NZ,2024-01-03,09:00:33
189,Pingzhuang,42.0372,119.2889,-10.52,88,1,2.29,CN,2024-01-03,09:05:33
190,Abepura,-2.6333,140.5833,27.45,83,20,1.03,ID,2024-01-03,09:05:33
